,Dataset,method,ARI,MI,NMI,AMI,HOM,VME,Average,jaccard_RNA,jaccard_ADT,moranI
12,5_Mouse_Brain,cosmos,0.3411863652807328,1.3105188433774893,0.5735061267350592,0.5723598049419497,0.6559047147112166,0.5735061267350593,0.671163663630251,0.013609011711173598,0.013609011711173598,0.8604946509949698
13,5_Mouse_Brain,cosmos,0.3130764847452122,1.1768261664392294,0.5243742322126448,0.5230654230280215,0.5889925466265723,0.5243742322126448,0.6084515142107209,0.012785146789644718,0.012785146789644718,0.804919813854865
14,5_Mouse_Brain,cosmos,0.32387122753481035,1.236076029354339,0.5441192403287476,0.5428843841416698,0.6186466524247439,0.5441192403287476,0.6349527956855097,0.011388317111555463,0.011388317111555463,0.8213123630189377
15,5_Mouse_Brain,cosmos,0.33738016978484436,1.2810700657077985,0.5619332646798966,0.5607520847022033,0.6411658254433201,0.5619332646798965,0.6573724458329933,0.013726023785059297,0.013726023785059297,0.8711052862156937
16,5_Mouse_Brain,cosmos,0.3268998643232039,1.2396009413431233,0.5503307886196974,0.5491010171363971,0.6204108440684346,0.5503307886196973,0.6394457073517589,0.009585056615613508,0.009585056615613508,0.7913968082650659
17,5_Mouse_Brain,cosmos,0.31224047966113166,1.2079258606138463,0.5369879235011911,0.5357194339601248,0.6045577070500859,0.5369879235011911,0.6224032213812617,0.013912919365651548,0.013912919365651548,0.8335199691204274
18,5_Mouse_Brain,cosmos,0.33728997606669553,1.214045822690118,0.5417517645077659,0.5404914371576918,0.6076207015273994,0.541751764507766,0.6304919110762395,0.012038508518233425,0.012038508518233425,0.8378559719627182
19,5_Mouse_Brain,cosmos,0.31443435234394523,1.2987333379965498,0.5649678425363792,0.5638049203253188,0.6500061588959561,0.5649678425363792,0.6594857424390881,0.013632729509596514,0.013632729509596514,0.8819719590700625
20,6_Mouse_Embryo,cosmos,0.14504626297996054,0.8033800010246414,0.32766609486587706,0.3163019763801915,0.33921893120402674,0.32766609486587706,0.3765465602200957,0.03411892753188447,0.014255260681917398,0.7093151590252113
21,6_Mouse_Embryo,cosmos,0.1460057311190566,0.7850776229795523,0.32197765393811534,0.3104393129929148,0.33149094057564576,0.32197765393811534,0.3694948192572333,0.041539304805099736,0.01552000955306581,0.7322133964307547
22,6_Mouse_Embryo,cosmos,0.14617629129885493,0.8061665784939609,0.3261583578443794,0.31487494200488136,0.34039553484072943,0.3261583578443793,0.37665501038786425,0.04218706562854188,0.014749319077303867,0.7344340482432983
23,6_Mouse_Embryo,cosmos,0.15035744630196274,0.8206190272119569,0.33164568630575003,0.32047098416695535,0.3464979324622122,0.33164568630575003,0.38353946045909787,0.041562766535495815,0.01567645124667389,0.7713515865883155
24,6_Mouse_Embryo,cosmos,0.14453550485107391,0.8052092436021285,0.32651102652863634,0.3152023689921002,0.33999131004250505,0.32651102652863634,0.3763267467575134,0.035802957778362725,0.01471974737592629,0.6925290336291009
25,6_Mouse_Embryo,cosmos,0.13728486140392174,0.7793930348547623,0.31630840138326927,0.30481652829769695,0.3290906817870688,0.3163084013832693,0.36386698485166474,0.03929487678263425,0.015214578056198696,0.69375878628585
26,6_Mouse_Embryo,cosmos,0.15094719620433347,0.8034344174325456,0.32667781548500274,0.3153358028308467,0.33924190797181497,0.32667781548500263,0.37705249256825774,0.03571904899118384,0.0162278851424256,0.6531024124210393
27,6_Mouse_Embryo,cosmos,0.13923739283211375,0.7839756563937711,0.31928049525701635,0.3077923155506959,0.3310256465342525,0.31928049525701635,0.36676533363747765,0.04243184478158484,0.015110832066543482,0.7479560385756736
28,6_Mouse_Embryo,cosmos,0.12012995863530881,0.7479159198690993,0.3047464960330841,0.29300835910572764,0.3157997941757211,0.3047464960330842,0.3477245039753376,0.039183530892146025,0.015381090644362487,0.7119207849684044
29,6_Mouse_Embryo,cosmos,0.1491032094141995,0.7891531787334938,0.32339880022713935,0.3118936776394037,0.3332118020174929,0.32339880022713935,0.3716932447098114,0.035666958956546216,0.012410896826771121,0.7677514587997398
