,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,Shared topic 11,Shared topic 12,Shared topic 13,Shared topic 14,Shared topic 15,H3K27ac private topic 1,H3K27ac private topic 2,H3K27ac private topic 3,H3K27ac private topic 4,H3K27ac private topic 5,H3K27ac private topic 6,H3K27ac private topic 8,H3K27ac private topic 9,H3K27ac private topic 10,H3K27me3 private topic 1,H3K27me3 private topic 2,H3K27me3 private topic 3,H3K27me3 private topic 4,H3K27me3 private topic 5,H3K27me3 private topic 9,H3K27me3 private topic 10
1903,4.0689735,-0.43154472,-0.18734983,-0.32487613,-0.39192373,-0.36903346,-0.36886728,-0.41015,-0.6434331,0.49498388,-0.4753704,-0.04822588,-0.17005092,-0.31773,-0.3529681,-1.2488047,-1.2133892,-0.4066615,-0.5366461,-1.4351103,-0.9429362,-0.90444154,-1.0604291,-1.0137312,0.37392157,1.2473944,2.2386065,0.072310075,-0.12744729,1.0823572,0.23332489
1904,0.5341544,-0.29146934,-0.57124424,0.4420781,1.4588158,-0.08858651,-0.42629534,-0.45730498,0.35353124,2.9764998,-0.3692335,-0.13354658,-0.5068514,-0.5133425,-0.5065731,0.054129798,-1.0707499,-0.77038157,-0.35957077,-0.6393195,-1.0128139,-0.59454644,-0.08742588,-0.3922007,-0.066849835,-0.9245665,-0.36675155,-0.48084214,-0.7499425,-1.0358298,-0.44297475
1905,-0.55778766,-0.092283785,-0.28228062,-0.08774035,-0.109087,4.692335,-0.57049143,-0.18308061,-0.30736262,-0.06356243,0.047116764,-0.27870703,0.6114862,-0.0734848,-0.28181767,-0.44367385,-0.5250476,-1.1842124,-0.9319625,-0.136295,-0.42171943,-0.049728613,-0.010566575,-0.4538126,-0.5561586,-0.67997026,-0.5749132,-1.8673284,-0.8245405,-1.1359497,-0.578987
1906,0.5592506,-0.5240679,-0.52474517,-0.30751994,0.3347599,-0.65171045,-0.53018075,-0.6036937,4.235405,-0.6357114,-1.1409262,-0.8510406,-0.8784381,-0.6194998,-0.43703932,-1.5677466,-1.7089083,-0.780121,-0.70677894,-1.830434,-0.6056351,-1.3336881,-1.2465909,-0.85122234,0.5587536,-0.30464998,1.123479,-0.42506015,0.06165999,-0.82903534,0.018564269
1907,-0.26465145,-0.380326,-0.07067631,-0.21488544,-0.021332383,3.51016,-0.23971029,-0.01109012,-0.2530456,-0.08071444,-0.1702264,0.9841666,1.0622451,0.99922,-0.10779394,-0.6502974,-1.3501563,0.96481484,-0.261052,-0.2576042,0.04393017,-0.43411765,0.024486672,-0.48763648,0.7638427,-0.22706158,-0.27274606,-0.2822999,0.01515076,-0.36607155,0.1447722
1908,-0.5718385,-0.34482452,-0.21713328,0.8035935,-0.65128976,0.44337398,-0.08357757,-0.0020081215,4.143299,-0.97573555,-0.58521837,0.66964597,0.03540808,-0.3983214,-0.31932506,-1.5565656,-1.3489671,-0.9069553,-1.0773641,-1.6210515,-0.47546238,-1.1593062,-1.2107936,-0.8952839,0.6547004,-0.3968101,2.8816075,-0.39988586,0.078393765,-0.8497947,0.030938933
1909,0.08371292,-0.90589166,-0.8611462,-0.021993779,2.084781,-0.34830278,-0.17523617,-0.48733896,-0.037811145,1.3179815,-0.57457936,3.7003925,2.5850496,0.039113235,0.058854423,-0.78315747,-1.1014136,-0.25367686,-0.3517041,-0.86149627,-0.21347946,-0.6932896,-0.2993127,-0.6672791,-0.25809488,-1.1095357,-0.41299194,-1.2340727,-1.3586463,-0.7540368,-0.43221068
1910,0.092022255,-0.07469745,-0.47776085,-0.07995948,-0.5880718,0.252585,-0.3398263,-0.54489166,2.1853645,0.38468525,-0.5170234,-0.058141932,-0.7074518,-0.60128444,-0.46680972,-1.0623822,0.35071725,-0.7384699,3.3097057,-0.35181156,1.1338974,-0.36857083,-0.5411178,-0.7780566,-0.021373808,-0.8661897,-1.136642,1.3248457,-0.89191943,0.35775986,-0.8617962
1911,-0.16696654,-0.27250296,-0.27868953,0.013996989,-0.13955621,0.29127797,-0.20102823,-0.15403067,-0.20928672,0.07395815,3.0618098,-0.32448873,0.60050726,0.2911236,-0.22328594,-1.1522663,-1.2527037,-0.66278493,-0.4237931,-1.0444169,-0.5382094,-0.7840151,-0.87172824,-0.60544485,-0.60663676,1.4459631,0.50205857,0.76249886,1.0829118,0.6632822,0.2319922
1912,0.77341235,-0.23234786,-0.37238085,1.7829492,0.73842084,0.040339552,-0.3817377,-0.47504377,0.14080508,2.7098033,-0.06573062,-0.45591468,-0.5394554,-0.4862752,-0.5555974,-0.55945796,-0.2453443,-0.5467124,3.2378335,-1.1371824,-0.20249355,-0.1564049,-1.2648498,-0.8807259,1.88445,-0.37808892,-0.12612976,-0.2462563,-0.28290528,-0.5525555,-0.21559237
