,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,Shared topic 11,Shared topic 12,Shared topic 13,Shared topic 14,Shared topic 15,H3K27ac private topic 1,H3K27ac private topic 2,H3K27ac private topic 3,H3K27ac private topic 4,H3K27ac private topic 5,H3K27ac private topic 6,H3K27ac private topic 8,H3K27ac private topic 9,H3K27ac private topic 10
Hmx3,0.019201934,-0.38237613,-0.17633015,0.76192296,0.90247524,-0.6426715,0.1893776,-0.5786173,1.0278329,-0.95404714,-0.44361147,-3.1854348,-0.22264628,-0.73415667,-0.9172566,-1.1533024,-0.07471234,0.6143771,0.16593441,-0.061792105,0.5255343,-0.19062293,-0.0510141,-0.90749013
Dpysl4,1.468206,-1.2999071,-3.5933628,1.5285805,1.032452,-0.9372721,-1.4084958,-0.05123906,1.6906698,1.9343033,-0.09510872,-0.32474566,-0.81408316,-0.76429015,-3.379698,0.3885427,-1.1806232,0.23716155,-0.7937425,-1.0851638,-1.1389396,-1.9439274,-1.0424396,-0.5624247
Utf1,-0.071374804,0.03872037,-0.09109391,-0.30618355,0.19581616,-0.58298635,-0.7802243,0.23263222,0.03029482,0.38934183,-0.93989784,-2.3458405,-0.47639734,-0.20346871,-1.4681087,-0.053572636,-0.21825479,-3.2024734,-0.18315245,-0.10831848,0.5646923,-0.068442166,-0.46027493,-0.61680514
Mir7686,-0.19814816,-0.12831303,-0.117197886,-1.6777182,-0.67916554,-3.1965437,-0.19391254,-0.19818121,0.085090905,0.21314126,-0.2633486,-2.3711789,0.14755556,0.4523633,-0.6861989,-0.16548324,-0.17336555,-3.260083,-0.42253023,-0.18487093,-0.5652909,-0.1123482,-0.16484007,-0.2797506
Mir202,-0.3830953,-1.049233,-0.5769777,-1.6319557,-0.777641,-3.6805787,0.17878395,-0.7442296,-1.5424025,-2.8259497,0.0019089878,0.5188752,-0.36208126,0.037512064,-0.48103935,-0.6588545,-0.30952954,0.045078725,-0.05340576,-1.9551952,-1.3279451,-0.20111385,-0.1719715,-0.24545184
Mir7062,-4.0805674,0.3268255,0.049250096,-4.117077,-0.6439162,-3.651391,-0.44502333,-0.20873913,-1.3815062,-0.31980866,-0.9725788,-3.5978682,-0.27944252,-0.5975767,-1.9834809,-0.4579265,-0.24255826,-3.352707,-0.9658957,-0.3672303,0.49529147,-0.316599,-0.051959485,-0.6542418
Zfp511,-3.0311131,0.14770064,-0.8184028,0.26128408,0.099197224,-0.22964767,0.023259684,-0.094722554,-0.4524867,-1.6931127,-0.633639,-3.2966676,-1.062912,0.14277959,0.17733032,-0.33751714,-0.11380192,1.3758142,-2.813237,-1.102953,-0.8722077,-0.6232106,-0.053320985,-0.008594483
Msx3,0.23579484,0.39238957,-0.75365025,0.4832903,0.29667085,0.7195534,0.033278085,-0.092908226,-0.5626354,0.92616403,-0.23861894,-1.8943989,-0.54446435,-0.6719189,-0.8788435,-0.26378265,-0.14149684,-0.032770984,-0.70703423,-0.14949523,0.054341495,-0.21951722,-0.012983613,-0.126813
Prap1,-3.698403,0.37696183,-0.34358165,0.7606635,0.06230545,-0.2948253,-0.76763415,-4.1117697,-0.45169538,-3.4156604,0.10738236,-3.6148062,-0.64871687,-0.057217836,-2.7283974,-0.2574175,-0.6050539,-2.5836825,-3.2375348,-0.3588346,-1.914988,-2.584169,-2.221118,0.1919012
Fuom,-0.42151082,0.2650199,0.05889523,-1.7065183,-0.6118889,0.11793798,-3.3982708,-0.91528714,0.54557276,-3.864921,-0.16713795,-1.6585258,0.47110415,0.32994485,-1.028455,-0.4033897,-0.36380345,-3.1290019,-3.4938996,-0.4086678,-3.696015,-0.20614198,0.4966036,-3.4680538
