,Shared topic 1,Shared topic 2,Shared topic 3,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,Shared topic 11,Shared topic 12,Shared topic 13,Shared topic 14,Shared topic 15,H3K27me3 private topic 1,H3K27me3 private topic 2,H3K27me3 private topic 3,H3K27me3 private topic 4,H3K27me3 private topic 5,H3K27me3 private topic 9,H3K27me3 private topic 10
Ltb4r2,0.68053406,-0.55258405,-0.19580233,0.2897018,0.3660048,-1.0397427,0.62212116,-0.111474484,-0.17436332,0.25066552,-0.67636913,-3.0696878,-0.49739102,-0.16200083,-0.011501186,-1.6515459,-0.062301826,0.35927656,-0.0872534,0.031929575,-0.20843755,-0.15578146
Ltb4r1,0.64144146,-0.050337266,0.10175829,0.48709947,0.4173788,-0.68403137,0.5682589,0.26564142,0.052795462,0.21236798,-1.4713327,-0.5892211,-0.81955475,-0.36582205,-0.24850273,-1.9549246,-0.029985417,0.18229993,-0.14574629,0.17272885,-0.49008322,-0.13449797
Adcy4,0.79982156,-3.1436949,-0.7213614,1.0521085,0.7545338,-0.011990845,0.6047254,-0.08891861,1.009809,0.79729515,-0.8108559,-0.6992343,-0.79285645,-1.1227244,-0.956862,-0.06609819,-0.08038785,-0.20212355,-0.5409888,0.35617244,-0.71513224,-0.49620897
Ripk3,0.8903,-2.0503538,-1.0974756,1.0678931,0.897948,-0.042485196,0.557522,-0.14016643,1.1614891,0.9072085,-0.89323753,-0.9920724,-1.1557611,-1.4762843,-1.666408,-0.14907661,-0.07585373,-0.11967267,-0.2820784,0.4586391,-0.7384533,-0.8813158
Nfatc4,0.27048135,-3.5666065,-2.340427,1.0078703,0.91768146,0.2337288,-0.06384608,-1.8600714,1.3440226,0.41461724,-0.3758129,0.5797941,0.60514677,1.3020744,1.2693577,0.3446193,-0.04800086,0.42421812,-0.54147315,-0.43039483,-0.6714199,-0.520411
Mcpt-ps1,-3.5695922,-1.0151925,-2.7136173,-0.18757153,-0.030286849,-0.27412665,0.30878854,-3.341321,-1.1812606,-3.6689222,-0.4342789,0.5811744,-3.1893747,-1.1851487,0.6699399,0.16483498,-1.388907,-2.2066917,-2.8460832,-0.2082479,-0.7784193,-0.15537292
Mcpt1,-0.49553308,-3.569936,-1.0981263,-3.614252,-0.41540965,0.45959008,-0.50651133,-0.7308713,-0.70484024,-3.6524992,-0.5170891,-2.9969306,-2.7276473,0.4745133,0.5208006,-3.3030126,-0.754446,-2.3545146,-0.81181645,0.30316877,-1.3041313,-0.24749297
Mir6949,-1.7624562,-1.2301198,0.3446753,-1.1466775,-3.7277539,0.94748175,-0.63489157,-3.2810974,-1.8858322,-3.6776857,0.105501235,-3.1701891,-0.8984056,-2.0723448,-2.7994497,-1.3677008,-0.6386617,-0.30507857,-0.5073985,-2.5770802,-0.45871535,-0.8683923
Ctsg,0.3375196,-2.8774006,-0.51453155,-0.064329326,-0.5772472,0.79492307,-1.3314238,-0.9452255,-3.3894742,0.22964185,0.31551373,-3.2851753,-0.5050445,-2.6244516,-0.58973086,-1.0582716,-0.578092,-1.4830678,-0.2998836,-0.95044374,-0.7041757,-0.7258517
1700039M10Rik,-3.8331757,-0.22874361,0.010425508,-3.3710887,0.42466033,0.48925126,-1.1284356,-0.40747303,-3.3917177,-0.32260463,-0.2970895,-3.1598246,-0.60027623,-0.53341293,-0.81938744,0.35336334,-0.62180156,-0.76087314,-0.49484536,-0.5941083,-2.96946,-2.0624633
