Shared topic 3,Shared topic 6,Shared topic 8,Shared topic 9,Shared topic 10,Transcriptomics private topic 8,Transcriptomics private topic 9,Proteomics private topic 4,Proteomics private topic 6,Proteomics private topic 7,Proteomics private topic 8
0.21894902,-0.6871075,0.39772427,-0.7768518,-0.06754716,0.18243559,-0.25096387,-0.1909643,-0.2446203,-0.29647496,0.316482
3.7552154,0.040050488,-0.69259316,-0.38297692,-0.8506267,-0.06299417,-0.28034425,-0.57775635,-0.18827464,-0.3401314,-0.31736496
-0.058861926,-0.06760083,-0.2049112,-0.1192794,0.40189037,0.04921878,-0.21464166,-0.26381359,-0.44988167,-0.45945796,-0.036619738
-0.4829278,-0.064555585,-0.19822535,-0.08277418,-0.3157972,-0.17685594,-0.2524856,-0.24083495,-0.29511026,-0.2941564,0.8157242
0.00067653507,-0.95129913,0.020279443,-0.18171185,3.8080812,-0.210573,-0.25281888,-0.5587829,-0.4073331,-0.4639217,-0.28532726
0.17012605,-0.34747475,3.9136705,-0.11773529,-0.17616501,-0.27673277,-0.32559818,-0.5474492,-0.43377727,-0.4569534,-0.49351248
-0.6016211,-0.4771189,-0.15800777,3.1475077,-0.55919135,-0.26413026,-0.23672976,-0.713044,-0.6612846,-0.43467724,-0.72970474
-0.3902616,-0.69080067,-0.0035066828,-0.023507226,3.7905283,-0.20753731,-0.2547383,-0.3459102,-0.46507594,-0.44412383,-0.13614859
-0.17597878,-0.30329093,-1.0699728,-0.3825878,-0.45832926,-0.11254701,-0.26783416,-0.13815598,-0.17614765,-0.21240044,0.33743075
1.789085,0.26058725,-0.2739656,-0.14131816,-0.010218918,-0.06385862,-0.2709718,-0.4135823,-0.29510048,-0.35730872,-0.036021873
-0.21036956,0.05287031,-0.32255754,-0.47206664,-0.40275374,0.00788637,-0.338976,2.946969,3.3026621,3.2167633,-0.6655287
-0.26905525,-0.40294656,-0.39412662,-0.22010297,-0.7519986,-0.022609456,-0.33419752,3.0275993,2.9971473,3.0244493,-0.52098906
-0.25156012,-0.32594118,-0.16976565,0.052505508,-0.11142793,0.8422365,-0.09714072,-0.23626032,-0.34763488,-0.36865002,-0.21339497
3.531017,0.27615592,-0.10653016,0.082793705,0.16905287,-0.12990797,-0.34623954,-0.4686711,-0.23658942,-0.36278746,-0.39504078
-0.26796266,-0.15863687,-0.5184336,-0.06573062,-0.23043966,-0.18685688,-0.3778669,2.8810525,3.2055442,3.1329465,-0.6404737
-0.85831404,-0.4468903,-0.45283473,-0.15580803,-0.5729168,0.13383076,-0.3545736,2.9061499,2.9807699,2.9924414,-0.4917548
-0.5934501,-0.25935116,3.2273784,-0.39640546,-0.64131665,-0.112304576,-0.47950542,-0.6362882,-0.4222464,-0.47481236,-0.5086262
-0.12876776,-0.21895437,-0.24900585,-0.2145985,-0.2847702,0.036919724,-0.16854234,-0.4086772,-0.19224285,-0.31546167,-0.1865088
0.6456627,0.48669565,-0.047895405,-0.2891668,-0.31314102,-0.35228643,-0.22511032,-0.18584876,-0.16095379,-0.21600325,0.2221217
-0.34675187,-0.50179505,0.013661049,4.0672245,-0.15274227,-0.385508,-0.2461135,-0.6073771,-0.58597714,-0.5257849,-0.074661374
-0.22441806,0.13109328,-0.5329159,-0.08817733,-0.38907716,-1.9876641,0.4734415,3.1842258,3.3174665,3.2550082,-0.52242124
-0.1011201,-0.105721265,-0.18551058,-0.280356,-0.1581306,2.5537136,-0.54348433,-0.38619325,-0.1964509,-0.321177,-0.25670996
-0.07064306,-0.54513663,-0.022111189,-0.24795136,3.5318143,-0.26816222,-0.37974173,-0.2400473,-0.54555726,-0.40155822,-0.55626583
-0.44537044,0.3588745,0.0679266,-0.343853,-0.33379352,-0.079177335,-0.27744558,-0.34115717,-0.4613191,-0.4664523,-0.15225089
0.2295198,0.5082123,-0.023969855,3.8653202,-0.35286024,-0.10657163,-0.24296452,-0.62508297,-0.5689077,-0.5344823,-0.08145713
-0.56958324,-0.19457531,-0.8557826,-0.85344297,-0.6028568,3.570851,-0.45387357,-0.23655796,-0.33902386,-0.38754216,0.15517858
3.0733485,-0.26764193,-0.35739002,-0.13106418,-0.52370477,-0.1268552,-0.25053334,-0.4873863,-0.26472005,-0.35911107,-0.23705669
-0.610142,-0.6933091,-0.41572145,-0.49838623,-0.58574,-0.31994045,3.5920136,-0.31545523,-0.43617475,-0.46473774,-0.08685275
-0.5676093,-0.8493984,-0.28368217,-0.13532798,-0.26766294,-0.06045715,-0.26035786,2.6674366,2.8369484,2.8350945,-0.5680389
-0.27579176,-0.04902838,-0.1575406,-0.21217926,0.030711912,0.14767039,-0.5012176,-0.3071242,-0.36203387,-0.39483503,-0.19839068
-0.22792868,-0.22393222,-0.33548182,-0.015433762,-0.16725428,-0.3613258,3.6106195,-0.29432747,-0.42572406,-0.49152863,-0.21016793
-0.13385148,-0.124164425,3.8431273,-0.12163223,-0.14174068,0.026843216,-0.34789437,-0.24691172,-0.50407255,-0.33599642,0.28855345
0.27175587,0.31158206,3.890606,-0.47128335,-0.4011094,-0.31004962,-0.32659468,-0.60805297,-0.44813904,-0.4508651,-0.40158388
-0.2810994,0.48186094,-0.15992531,-0.48645848,0.10903158,-0.39400554,-0.51431036,2.70627,2.9268937,2.9175444,-0.4805582
0.068262845,0.10597779,-0.68142325,-0.0646015,-0.58601314,0.036607478,-0.21566373,-0.23868869,-0.576519,-0.41751152,-0.5573254
