,Shared topic 3,Shared topic 6,Shared topic 8,Shared topic 9,Shared topic 10,Transcriptomics private topic 8,Transcriptomics private topic 9
102,-1.2610974,-1.6650908,-3.9013093,-5.0870523,-4.433428,-4.0712986,2.6708064
103,2.747161,-3.426887,-3.217625,-1.269313,-1.2736907,-2.460679,-4.4518876
104,-2.8796036,2.1945488,-1.6903173,-1.147048,-2.622226,-4.6103907,-5.219423
105,2.3476634,-0.46870625,-3.2539668,-0.5425057,-2.0916533,-4.772397,-4.7816725
106,-4.4861994,-1.1454446,-3.028065,2.3944736,-4.7413497,-2.1149602,-3.229932
107,0.12821329,2.4224188,-4.682196,-1.4002061,-2.5179372,-4.4475565,-3.202478
108,-1.9603338,2.1788802,-1.5175974,-1.4131715,-3.3520262,-4.3467226,-1.4759035
109,-2.3886058,1.9596889,-3.744049,-0.4524429,-1.6424352,-3.7459009,-1.8242795
110,-4.212181,-1.5621755,-0.9610919,-2.499174,-4.5745516,-4.45644,2.7190151
111,-5.5899444,-3.2504787,-4.347771,-2.5828285,-3.2609696,2.9025013,-3.5063944
112,-2.2941604,-3.2031612,2.5461018,-0.9827236,-1.8206402,-3.8845577,-3.8578439
113,-1.5734775,-3.2997081,-2.830648,-3.6602283,-2.8463109,-4.98081,2.7172158
114,-3.738328,-5.5752764,-1.4671524,-5.1875157,-3.088696,-4.654535,2.5101063
115,-1.6237565,-5.08148,-5.0769396,-1.3347607,-5.5354695,-4.8942485,2.571976
116,-1.6329815,-1.6778224,-2.7618384,-6.3017,-5.8767333,2.9258952,-2.8803391
117,-1.0428754,2.0208743,-5.2417793,-5.439373,-3.532452,-4.320826,-4.938651
118,-5.568719,-5.642803,-3.7619164,-1.6146944,2.3822505,-2.6586602,-4.3624954
119,-4.403864,-3.5680754,2.5169165,-5.338918,-4.051633,-5.2463036,-4.627871
120,-1.6162977,1.6289554,-1.8320135,-3.1732678,-4.715308,-3.6696184,-4.1822257
121,-4.7043695,2.2152472,-3.7705526,-3.5653443,-3.1082366,-3.939139,-5.0430827
122,-0.39656687,-0.15532482,-3.5702307,2.165947,-5.267853,-4.0394506,-5.4164453
123,-4.291239,-2.7105591,-4.3069544,-4.4746833,-2.1174397,3.1327877,-5.1890216
124,-3.282616,1.7568967,-5.259463,-1.167485,-4.1568785,-4.281423,-4.7517667
125,-4.2205553,-0.29878926,-4.9768496,-0.56737125,-1.2978244,3.0158434,-3.409128
126,-3.1455307,2.0431895,-0.3378365,-1.3001008,-4.9134417,-2.5792732,-4.871505
127,-2.6553326,-2.9323714,-2.6197178,2.5798736,-3.3675053,-4.1696396,-4.528413
128,-1.4322999,2.3452172,-3.2307148,-1.2951913,-3.0347462,-4.482404,-5.562919
129,-2.3591738,-2.532408,-3.054928,2.0214918,-2.6986163,-3.906089,-4.3514686
130,-3.3735602,-0.6157983,-0.8924227,-0.69296944,2.3681006,-5.3507466,-4.2373586
131,-4.6105123,-2.1305017,-4.2772284,-4.232416,-4.7520704,2.8194752,-3.7441993
132,-3.5764802,-2.931524,-5.2975664,2.3333685,-3.0428767,-3.6612692,-3.5420368
133,-4.761847,-4.2587776,-2.2008562,-6.027159,2.3669345,-5.13599,-3.8738446
134,-4.4749775,-0.68198144,2.8266075,-3.406267,-2.159624,-4.5658417,-4.353923
135,-4.1698728,2.026729,-4.428315,-4.2288666,-5.10835,-4.9712224,-1.840189
136,-4.938756,-1.0139824,-4.519166,-3.0425916,-0.62964296,-5.249166,2.6903389
137,-2.5975947,-1.8425796,-5.5432954,-4.946576,-5.256923,-4.7187495,2.5683393
138,-4.8509965,-2.9225001,-4.240944,-5.3877673,-4.0442123,2.9164865,-3.4982843
139,-4.346978,-2.347355,2.668549,-1.2075214,-3.9613566,-3.8131156,-3.272074
140,-3.2133887,2.3259206,-4.2500153,-1.0471034,-3.5716088,-1.5049193,-3.7854226
141,-0.7502321,-1.7157483,-4.190402,-4.9436045,2.7432616,-4.2878327,-5.6485343
142,-2.8598852,-1.4221305,2.3532631,-2.1417675,-1.0978186,-3.5591905,-4.1051044
143,-1.6386844,-1.6839292,-1.2707286,-3.1368117,-1.3068221,-5.2825193,2.8042204
144,-1.225075,-0.6249019,-4.9374127,-2.342795,2.4449108,-4.9357324,-3.6459427
145,-4.734168,2.1424444,-5.488192,-1.5386488,-1.7054558,-3.3135931,-3.8243597
146,-2.017322,-1.8437023,-4.4334087,2.0972772,-3.1261296,-4.6982903,-3.9020524
147,-5.626355,2.152167,-3.6736832,-3.1295967,-4.4743633,-4.113161,-0.9093534
148,2.644377,-5.033186,-1.3481531,-3.3610408,0.06244576,-4.120951,-3.4288394
149,2.731501,-4.0550346,-1.2528923,-5.2819166,-0.54762495,-4.4780006,-4.8307095
150,-2.8031764,2.2867997,-5.4417505,-5.030133,-1.2131915,-2.6987245,-4.2054615
151,-4.6346602,2.0188751,-5.145468,-4.5361023,-4.1826077,-5.063508,-4.219904
152,-0.8659579,1.7524827,-4.9909754,-1.4565487,-1.6868033,-4.88843,-4.480093
153,-4.03594,-1.0414383,-2.6318743,2.1670413,-4.9550385,-4.6070423,-5.400433
154,-3.3381553,2.0554447,-2.2872467,-0.8342769,-2.346863,-4.840801,-4.664745
155,-2.3055105,-1.655102,2.694326,-1.6224779,-1.5530895,-4.541279,-3.6098912
156,-4.371264,-2.1984067,-3.6904767,-2.1080642,-4.225425,-4.8639946,2.5640185
157,2.6403759,-6.0759153,-5.0579524,-0.32489863,-4.8425226,-5.364774,-2.969054
158,-0.85841596,-5.947111,2.2773106,-1.6055299,-5.0244584,-3.5291543,-3.5129163
159,2.6237092,-0.75940955,-5.975104,-4.8560033,-5.0432086,-3.8262591,-4.848183
160,2.4159446,-0.8211897,-4.736296,-2.1870766,-0.44947854,-5.501526,-5.2102365
161,-3.0347912,-1.631693,2.1874218,-1.2969244,-4.7290688,-4.52972,-5.172196
162,-4.811559,-2.5015223,-2.7950613,-0.81624645,2.3797946,-4.6179314,-5.2009354
163,-4.714444,-1.4619683,-5.4455624,2.1932638,-2.4408092,-4.080782,-3.0918372
164,-3.3164303,-0.44453502,-4.0203543,2.2016156,-1.0130925,-4.9510794,-5.003251
165,-1.0549412,-0.3509118,-4.140748,-3.2700064,2.495422,-3.70007,-4.018818
