,Shared topic 4,Shared topic 5,Shared topic 6,Shared topic 7,Shared topic 8,Shared topic 9,Shared topic 10,Transcriptomics private topic 6,Transcriptomics private topic 9
72,-1.2179079,-3.3294957,0.02381137,2.3761566,-5.6566296,-4.9770656,-0.2858386,-4.8154182,-4.0503597
73,-2.4218607,-2.7703023,-5.859282,-4.8019834,2.464905,-5.352898,-0.64253473,-2.9349008,-0.44434053
74,-5.866891,-5.084339,-2.4314325,-4.506854,-1.5144665,2.5392926,-1.9920632,-3.3108122,-0.16467762
75,-0.3157309,-5.6136646,-1.8345629,-5.585823,-1.8918111,-5.291334,-2.3347402,2.392921,-0.18666121
76,-4.286033,-3.5051334,-2.3420787,-4.5221977,-4.836085,-1.1844549,2.5375729,-4.439785,-1.0202879
77,-5.1077642,2.670701,-0.26322925,-4.8037605,-4.129407,-2.0642097,-3.2360075,-1.7781222,-0.3537027
78,-2.1015434,-3.29161,-1.1301589,-6.050102,-4.144774,2.4009352,-0.6387262,-2.4999785,-0.21283162
79,-3.9879503,-2.7670684,-5.2459974,-5.314394,-4.898853,-2.9940803,2.6829576,-3.4331622,-0.40715027
80,-4.2862854,-4.214219,-3.6183372,-4.885807,2.6447496,-3.3284924,-4.383008,-3.6878572,-0.7022819
81,2.422239,-3.4311209,-2.56825,-3.9859033,-2.212335,-4.448,-5.1734867,-4.258217,-0.5757576
82,-2.8148685,-1.1923199,-1.5782814,-5.256212,-2.128162,2.5843532,-5.1598916,-2.8809605,-0.2817933
83,-1.6380475,-4.032695,-1.864406,-4.2767096,-4.479086,2.320734,-4.084593,-4.385888,-1.0518999
84,-5.1303473,-3.4991426,2.463824,-5.3074775,-2.4212549,-4.0900993,-0.40111476,-4.336354,-1.2714794
85,-2.553967,2.572799,-4.683475,-5.1120644,-5.445798,-5.1567945,-4.060239,-4.0808897,-1.0527303
86,-4.0671525,-2.3004618,-2.574306,-5.8578196,-3.4899957,-0.8848506,-2.0032742,2.1508617,0.078920364
87,-1.7151694,-1.9906558,-1.8959217,2.5625298,-4.6742306,-1.4498698,-2.4882994,-0.17843771,-0.43693244
88,-5.015982,-4.5635257,2.6200945,-1.2374448,-6.18699,-2.487518,-3.6202676,-2.2886963,-0.5526389
89,-4.9673324,-5.100382,-5.159519,-2.193389,-4.8990846,-4.0464516,-3.5502484,2.3420258,1.0530778
90,-2.4755988,-1.5941463,-4.0724955,-3.62655,2.770108,-5.7612476,-5.7805223,-4.3181524,-0.8032631
91,-4.1519494,-4.1702623,2.6811223,-2.9775267,-1.2181009,-4.2023973,-1.7048286,-1.7774526,-0.525051
92,-4.659423,-4.8451424,-3.1143525,-4.4509573,-3.4450371,-3.3828356,-2.1512988,2.2258458,0.009094119
93,-0.11812776,-2.0404096,-5.0359607,-4.0048656,-4.3921437,-0.25819883,2.5769668,-4.2792816,-1.0375775
94,-4.098408,-3.6323402,-5.3408303,-4.307235,-4.6420593,-1.3188952,2.728885,-3.2394807,-0.7044045
95,-5.2212286,-3.4714003,2.5821,-4.783411,-1.5586728,-4.9758463,-5.368511,-3.9007926,-0.6060468
96,-1.2863166,-4.311181,2.6339433,-3.5291529,-5.773875,-2.9324667,-1.1179969,-4.0542045,-0.7198889
97,-4.419002,-3.8386314,-1.664536,-4.043565,-4.8974757,-4.001586,2.320853,-5.1958027,-4.8882766
98,-1.2481902,-2.304017,-2.276628,-1.8346791,-5.054011,-1.3344882,2.6608567,-4.308955,-2.8386707
99,-4.538931,-2.4566438,-5.3950686,-5.099125,-4.447779,-1.1153517,2.6809459,-0.27261382,-0.3195824
