Shared topic 2,Shared topic 3,Shared topic 6,Shared topic 7,Shared topic 10,Transcriptomics private topic 3,Transcriptomics private topic 6,Transcriptomics private topic 8,Transcriptomics private topic 9,Transcriptomics private topic 10,Proteomics private topic 2,Proteomics private topic 4,Proteomics private topic 5,Proteomics private topic 6,Proteomics private topic 7,Proteomics private topic 8
-0.1130378,0.27805805,-0.8801437,0.124554954,0.11954978,-0.25502035,-0.13999686,-0.28374702,-0.27847528,-0.12701325,-0.47249895,-0.6599458,-0.030670436,-0.58044064,-0.5952067,-0.01466067
-0.26860863,-0.46982008,-0.32874477,0.013869699,0.318435,-0.035694458,-0.04534459,-0.20335531,-0.17400849,-0.24979159,-0.79597276,3.1166828,-0.3954564,3.0813193,3.1359856,-0.23676571
-0.29618233,-0.087755434,-0.296858,0.0922235,-0.51168674,-0.24767631,-0.13404848,-0.08178444,-0.27109727,-0.2416302,0.4785713,1.3628088,-0.516252,2.3174987,1.0961945,-0.7927601
-0.083353765,2.558234,-0.22956064,3.7179427,0.004225087,-0.18485259,-0.2748597,-0.19311328,-0.11432472,-0.20727743,-0.4305831,-0.59751934,-0.3271352,-0.3770857,-0.6317454,-0.38158512
3.5472841,-0.7825287,0.37196577,-0.65572906,-0.9740642,-0.3414897,-0.064788364,-0.34362364,-0.3033736,-0.11974192,-0.3856971,-0.55036527,-0.3165013,-0.49279174,-0.5537057,-0.41388834
3.1372728,-0.27762073,0.33858755,-0.6687485,-0.3973348,-0.33005497,-0.1373944,-0.112310156,-0.12872426,-0.24746197,-0.35017034,-0.7899386,-0.3865836,-0.69605714,-0.75041944,-0.2989382
-0.4467295,-0.38292223,-0.37571818,-0.6546113,0.06315461,-0.5788971,0.4939147,-0.83230746,-0.752846,4.1135836,-0.26041046,-0.4481331,-0.029436694,-0.59677124,-0.48257068,-0.056628503
0.025026143,0.21933505,-0.08086627,-0.020187639,0.08106941,-0.21014723,-0.012686331,-0.17738727,-0.17843714,-0.20085269,0.31728876,-0.14065601,-0.54669076,0.21232934,0.07736247,-0.35269848
-0.19535783,-0.5141753,-0.6443331,0.506946,-0.51212114,-0.29345414,0.1335672,-0.1593299,-0.27480114,-0.20240441,0.32138667,-0.19894306,-0.4778048,0.1622782,0.0984015,-0.24614897
-0.25318113,-0.18896972,-0.30552238,-0.21039678,-0.34857792,-0.3810394,-0.07135683,-0.7097725,-0.34434828,0.009826027,-0.48305145,-0.58847576,-0.17995717,-0.5898657,-0.66380787,-0.45559138
