,Shared topic 2,Shared topic 3,Shared topic 6,Shared topic 7,Shared topic 10,Proteomics private topic 2,Proteomics private topic 4,Proteomics private topic 5,Proteomics private topic 6,Proteomics private topic 7,Proteomics private topic 8
48,-6.25337,-5.020464,-1.9710914,-5.4198728,-1.9296261,1.9283361,-5.389202,-4.9074244,-5.1886992,-4.94487,2.2154417
49,-5.748188,1.6602054,-2.9614704,1.5684447,-0.4795724,-0.6278063,-1.6770939,-2.71302,-1.8446792,-2.0445948,-0.45697284
50,1.9752092,-3.3209014,-1.6928647,-2.0196762,-1.0003623,-0.67932844,-1.110845,-1.9269062,-1.3815106,-1.1685514,-0.701247
51,-2.8673825,-2.3962805,-2.1386395,-4.5513296,-4.3549247,-1.8481579,-1.7544094,1.9146771,-1.9758993,-1.83571,-2.5837474
52,-4.9700575,-3.8465981,-1.5656879,-2.8159056,-4.6984196,-1.2403748,-2.0501006,2.015508,-1.8124958,-2.3582745,-1.7709899
53,-2.65121,-2.2253208,-4.177789,-3.3076754,-1.2196615,-0.921593,-3.6785436,1.9038801,-2.9589593,-3.1367917,-2.0709825
54,-2.6694262,-5.9680076,-1.3643601,-5.8353558,-2.2239275,-2.4072814,-1.625773,2.0191472,-1.6522676,-1.6075059,-3.1445863
55,1.7738388,-4.1382794,-1.8347594,-2.6979141,-1.6485443,-1.3808542,-1.5083785,-4.1379533,-1.6015083,-2.1909366,-1.614849
56,-6.3170033,-5.038505,-6.278159,-5.510449,-4.497813,-2.192305,2.0040228,-5.5619025,1.9341023,1.8410702,-3.8957405
57,-4.5005713,-2.5601497,-4.9163876,-3.9717004,-2.491739,-1.9595895,-1.6382123,1.7871122,-1.4640043,-1.9754865,-2.8151371
58,-5.922824,-2.014223,-2.644358,-1.5574149,-1.2629611,-0.9006283,-1.5557463,2.1083343,-1.8637477,-1.851202,-0.7994924
59,-5.77435,-4.294655,-2.503676,-5.5475063,-1.6989431,-1.3339715,-2.9803488,1.8767481,-2.9951127,-3.09693,-2.181809
60,1.7780578,-4.0825396,-1.9830981,-4.8768573,-1.4656898,-1.6874466,-1.6919595,-4.850203,-1.8205208,-2.0520964,-2.3399696
61,1.9489362,-1.7090046,-1.4467845,-2.1194355,-2.1563,-0.6123963,-0.6742436,-4.0365443,-0.5599303,-0.5242656,-0.53513634
62,-4.6530647,-3.7527006,-1.9116945,-3.573335,-2.535994,-2.4991298,-1.4977927,1.8739722,-1.3684705,-1.4183273,-2.6866047
63,-5.4186177,1.719264,-1.0593485,1.7416906,-1.0467833,-1.0358552,-0.84881413,-5.2808022,-0.6857092,-0.81583923,-1.274124
64,-5.0019817,1.7563186,-4.2258263,1.6667519,-5.420924,-1.0904233,-1.2936703,-3.1242025,-1.1291682,-1.81885,-1.618041
65,1.9219642,-2.4383388,-0.87952304,-1.6231284,-2.0093806,-0.3236229,-0.60302174,-3.10374,-0.74753404,-0.55208063,-0.3149322
66,1.9128027,-2.2896194,-1.7939291,-1.2436527,-0.9447271,-0.5835665,-0.49824345,-3.0657232,-0.6273347,-0.5781349,-0.72236645
67,-5.962105,1.551707,-1.3807359,1.4853904,-2.4502716,-1.5166478,-2.057856,-4.8530703,-2.0602126,-2.1308603,-1.4090536
68,1.9230785,-2.0545936,-1.5810287,-3.0687973,-2.0959568,-0.41077656,-0.7625055,-4.113599,-0.72629803,-1.0660379,-0.42177662
