,Shared topic 2,Shared topic 3,Shared topic 6,Shared topic 7,Shared topic 10,Transcriptomics private topic 3,Transcriptomics private topic 6,Transcriptomics private topic 8,Transcriptomics private topic 9,Transcriptomics private topic 10
107,-4.006094,-3.6943247,-1.2840064,-3.2231967,-4.0127163,-3.605535,2.447639,-0.46906087,-3.165067,-4.2813473
108,-4.562517,-4.108952,-2.9940042,-2.8337042,-2.8367288,-4.1364613,2.7399883,-0.5976637,-4.3723907,-4.8429856
109,-3.3130527,-2.9913032,-2.3286862,-2.043335,-2.9317822,-4.2038703,2.3322296,-0.43858844,-3.7555346,-3.9732141
110,-5.0467353,-4.4075155,-2.4796975,-3.449863,-3.9713256,2.1115828,-4.141308,-0.50155777,2.4556713,-4.618131
111,2.2208536,-3.1655884,-2.4688616,-3.5321248,-3.1219356,-3.7198188,-3.4943993,-0.55040354,-3.443106,-3.9319353
112,-3.9622838,-2.0492082,2.0223274,-2.7667391,2.5133524,-4.392326,-3.7537355,-0.6747978,-3.8265026,-4.2576036
113,-4.931824,-4.060563,-2.543554,-3.2094517,-3.1326213,1.9156742,-4.458744,-0.50312513,2.2531767,-3.6556444
114,-5.4347444,-4.7029552,-1.1558955,-2.944395,-3.8596692,2.4475818,-4.5199556,-0.6020258,2.481902,-4.825242
115,-3.5324464,-0.7295736,-4.2236714,-3.67006,-4.4278154,2.1920097,-4.3207254,-0.32612848,2.1392725,-4.3683467
116,-4.8750563,-3.2723465,-4.685193,-1.8659511,-4.6268487,-4.1330204,-4.1751347,-0.66606635,-3.1667798,2.9651332
117,-4.0069227,-0.941393,-1.2076275,-2.6412845,-1.1419269,-2.9610205,2.4695106,-0.6533907,-3.5485923,-4.5424347
118,2.1530814,-1.2131445,-4.164049,-2.7043505,-3.319721,-3.650703,-4.3768663,-4.4932632,-4.048144,-4.0362897
119,-4.829973,-1.6610783,1.9687679,-2.8314672,2.2522259,-3.918366,-4.03456,-0.66953474,-4.283341,-4.3279943
120,-4.6910925,-1.7304978,-4.6234975,-2.4548411,-4.8075886,-3.3079152,2.53323,-0.541479,-3.919011,-4.1262217
121,-5.1667285,-1.8064158,-2.0313592,-3.4440744,-2.7388377,-4.538356,2.561229,-0.7707331,-4.487585,-5.2266917
122,-4.1972237,-0.49810562,-4.3855324,-3.758771,-4.5094476,2.1513698,-4.5131407,-0.45258728,2.3103194,-4.2524214
123,-3.625272,-4.9390817,-3.5752547,-4.3964233,-3.8308172,-4.297391,-2.4981775,-0.59046626,-4.0602417,2.3709428
124,-4.70858,-1.0734771,-2.706038,-2.1604724,-2.6663513,-3.2219615,2.037657,-0.46597248,-3.9067047,-3.9682152
125,2.1750374,-2.768032,-2.6760075,-2.831552,-3.6360781,-2.870905,-4.6265507,-0.49131364,-2.7150474,-3.849279
126,-3.3039668,-0.8395902,-2.1920648,-1.6818174,-2.7377803,-3.84854,2.5055757,-0.5728232,-3.9453044,-4.5453763
127,-4.870628,-2.6053877,-4.094962,-3.7827358,-4.5756154,2.1093895,-3.8998096,-0.45707303,2.3600874,-4.420967
128,-4.248993,-0.9010128,-3.15239,-3.888911,-2.9450176,-3.959912,2.1432383,-0.48957434,-4.554849,-3.3321285
129,-4.1556606,-3.3624325,-2.9602373,-3.2041419,-2.674967,-3.5010366,-3.2260525,-0.6066969,-3.459112,2.8075426
130,-4.4594374,2.1040373,-2.3986776,2.1809688,-1.4296558,-3.8769057,-3.442269,-1.0332617,-3.8682292,-4.6602044
131,2.112112,-3.104546,-2.8922346,-2.8556328,-3.070494,-3.667302,-3.9847264,-0.5372509,-3.7729774,-3.9942243
132,-4.916088,-2.7912316,-3.2713218,-3.431842,-3.0179896,-4.1071887,-3.2121344,-0.34866083,-3.6003022,2.5581365
133,-4.061696,1.70402,-1.0640817,1.9414711,-1.054986,-4.290078,-3.780021,-0.5929162,-3.9442153,-4.0445642
134,-5.519681,-3.3777213,2.0335855,-3.1749294,2.4558887,-3.9527776,-3.8753293,-0.6163174,-3.720535,-3.7746508
135,-4.300221,-0.15418854,-2.6415029,-2.7709372,-3.1893594,-3.8504567,2.4222844,-0.5385258,-3.4404118,-4.3312016
136,-4.416854,-0.9830934,-3.7071867,-3.5590358,-2.7649946,2.4751096,-3.9750183,-0.6071005,1.8690069,-4.1851206
137,-3.9698792,-1.8213208,-2.5764332,-2.083572,-2.5703936,1.8994567,-3.4485114,-0.50252736,2.5440855,-4.202927
138,2.4334898,-1.2331814,-1.2361935,-1.4212213,-2.4500148,-4.3225937,-3.064466,-0.54871595,-3.7120304,-4.269969
139,-5.083735,-4.1470547,1.5616009,-1.9061544,2.2150888,-4.1696544,-3.3182645,-0.4976402,-3.1853173,-3.8290431
140,-4.6380186,-4.0122137,-2.090098,-2.812177,-2.7802742,-4.2710032,2.466817,-0.49710214,-3.6593866,-4.631421
141,1.9714594,-0.5329087,-1.863511,-2.496496,-3.032006,-3.5580988,-3.5486548,-0.48919427,-4.1673307,-4.5495734
142,-3.9319758,-4.5671864,1.9574854,-4.4263363,2.1898193,-3.4355037,-3.8889062,-0.54890823,-3.8055902,-4.234725
143,-5.0819545,-1.9391041,-4.321602,-4.7373714,-2.9586248,2.2655146,-3.448436,-0.56142175,2.3317714,-4.473815
144,2.3259914,-2.6587505,-2.0543761,-2.0268383,-2.7235713,-3.7900457,-2.9446123,-0.48732838,-3.8504148,-3.998058
145,-4.813985,-1.115898,-1.4926479,-2.6694372,-1.9221667,-4.2274513,2.6208045,-0.5551118,-3.6554675,-3.6317697
146,-4.721022,-4.1334553,-1.7814615,-2.9074926,-4.2458773,-3.319472,-3.825002,-3.8301826,-3.8897316,2.737037
147,-4.574765,-3.14856,-1.3285393,-3.2899578,-3.2204328,-4.139035,2.3082504,-0.51686066,-3.9061236,-4.684714
148,-4.7410765,-2.5956674,2.3215952,-3.5247738,2.526582,-3.691407,-3.9910796,-0.68330824,-3.2993815,-4.342478
149,-3.0441177,1.3941085,-2.6799119,2.0088785,-3.441071,-4.082202,-3.9543614,-0.5115174,-3.9132793,-4.698576
150,-3.3512335,-4.274949,-2.653736,-2.6174476,-2.7320347,-2.9712136,2.4446068,-0.5180594,-2.6160438,-3.3614826
151,-4.6004415,-0.65017706,-1.6991472,-2.944351,-3.0329363,-3.7851293,2.6806567,-0.53187907,-3.3357775,-4.005333
152,-4.880792,-1.9530944,-2.3809786,-1.5883034,-3.1626215,-3.4947753,2.498549,-0.5160419,-3.3618758,-4.5972285
153,-5.0545125,-4.39808,-2.6606483,-1.8893263,-3.3534703,2.1825817,-3.6029518,-0.62507975,2.6189837,-3.8078136
154,-5.1849484,-1.2246816,-4.3524523,-2.195558,-3.9363668,-3.9316883,2.2213433,-0.4385716,-3.979879,-4.183754
155,-3.2416902,-0.6907475,2.1278121,-2.7069836,2.5300732,-4.31873,-2.895698,-0.783207,-3.9604266,-4.118042
156,-4.877701,-2.2386646,-3.0972068,-3.9683464,-3.6485505,2.2268775,-3.7470222,-0.5464595,2.2629135,-4.5646467
157,-4.4914055,1.7921584,-1.7001724,2.14846,-2.0166898,-4.2311115,-3.2014472,-0.7042868,-4.641082,-3.9458299
158,-4.2339573,-2.8455162,2.2357836,-2.4705024,2.5186026,-4.7265434,-3.7457924,-0.7422106,-4.044159,-4.863513
159,-3.2217867,1.8216925,-2.158897,2.138718,-4.04379,-3.9546046,-3.7258337,-0.7250316,-4.1506186,-4.6875687
160,-4.7210035,1.3694395,-1.2431407,2.0946321,-3.3328362,-3.7780142,-3.4206247,-0.56912506,-4.354319,-4.366001
161,-4.203484,-0.8892802,1.8525724,-3.766153,1.9772797,-4.124589,-3.4345355,-0.6026543,-4.185128,-4.577457
162,2.5371392,-1.291784,-1.8907504,-2.490133,-2.0017052,-2.284008,-3.858953,-0.6745708,-3.7454505,-4.431079
163,-5.4007616,-3.3009534,-3.585963,-4.205836,-2.9857852,2.213193,-4.391713,-0.640523,2.4276502,-3.8820722
164,-4.83577,-4.241372,-3.6600387,-3.580852,-3.7768066,2.242666,-3.700172,-0.48179463,2.1030962,-4.4496775
165,-3.919392,2.1471987,-2.4906325,2.2366278,-1.9308351,-3.2332199,-3.896962,-0.81225324,-2.9707074,-3.6702933
166,2.0858335,-0.88043565,-2.423932,-2.0232463,-2.536116,-4.1418037,-3.6671345,-0.5699046,-4.0626154,-3.8646145
167,-5.110247,-1.4431849,-3.8982863,-3.7252162,-2.0266068,2.3695982,-4.3671703,-0.6144961,2.1823285,-4.0348134
168,-3.6460261,-0.77324575,-2.930164,-3.5759323,-2.5432925,2.0179892,-3.1514685,-0.5620724,2.1463277,-3.7524822
169,-4.832319,-2.1854134,1.9473348,-2.4775848,2.3921578,-4.2439795,-3.51412,-0.74930084,-3.9580705,-4.480317
170,-4.9376388,-2.8115103,-3.059831,-3.081247,-3.5886064,2.051493,-4.2056026,-0.5946172,2.5275834,-4.6221
171,-2.991785,-3.6590827,-3.6985059,-1.7622532,-3.0347772,-3.0004702,2.486656,-0.5118539,-3.4073389,-2.7707012
172,-3.906893,1.6976035,-2.079455,2.2373135,-3.048322,-4.530632,-3.2658203,-0.6725034,-3.3175395,-4.510597
173,-4.636706,-0.85513705,-4.753383,-4.296071,-3.760778,2.6751356,-3.9234986,-0.56662923,2.225678,-3.4700017
174,-2.3342805,1.9467587,-2.0395882,2.4382567,-4.0362988,-3.7080388,-2.9109004,-0.7651677,-3.71853,-2.6788645
175,-4.94611,-3.6984866,-3.5157847,-3.6050465,-3.991175,2.1228907,-3.8507555,-0.51838344,2.2093852,-4.438304
176,-4.35875,1.7741518,-2.1995862,1.881196,-2.3504484,-3.8835394,-3.9471533,-0.6203161,-3.864448,-3.8632452
177,-4.6013923,-3.9174736,-4.82462,-4.5922794,-3.298955,-3.9389358,-3.4574926,-0.67483974,-3.924349,2.8481898
178,-3.72698,1.9275298,-2.8626509,2.289542,-2.1295419,-3.9628656,-4.0412107,-0.6992016,-4.4071255,-3.7139208
179,2.3151162,-1.5748419,-1.7473354,-1.0580802,-3.5454397,-4.0472775,-3.6522932,-0.5112191,-3.7134786,-4.4611864
180,-3.961675,-0.5602808,-4.092589,-2.6845636,-3.7658863,2.5189984,-4.0109215,-0.52229583,2.5705066,-4.5913258
181,-4.592491,1.75881,-2.304484,2.1614494,-3.734052,-4.0233717,-4.186771,-0.7655912,-3.5047991,-4.0362043
182,-4.4996967,1.8746617,-2.3525817,2.167045,-3.1468098,-4.195011,-2.7215087,-0.5786906,-4.3152504,-4.6145597
183,-5.398124,-0.53182644,-2.1076112,-3.5183032,-2.1515493,-4.1580057,2.3452775,-0.56240606,-3.7410262,-4.5905375
184,-4.1313868,-3.7341337,-2.476867,-3.6720085,-3.0055096,1.8967543,-4.479536,-0.5369711,2.2957764,-3.3768387
185,-3.7481816,-4.6920176,2.134398,-2.2460146,2.1284318,-3.9359024,-3.0441542,-0.6122771,-4.031171,-3.659302
186,-5.1585693,-1.152391,-2.8051424,-3.878602,-4.4627843,-2.9768558,-2.50327,-0.63217866,-3.4815292,2.609959
187,-4.776801,-1.5960903,-1.1873324,-3.9219923,-2.6093144,-3.6572495,-3.8522384,-0.528976,-3.1112852,2.803109
188,2.5386267,-1.7315005,-3.9188213,-2.3213692,-2.8606393,-3.7292233,-3.797359,-0.62968844,-3.4600205,-4.4257374
189,-4.65794,-3.755144,1.7431393,-2.3555267,2.3163824,-3.9932225,-3.6553862,-0.5899242,-4.3124604,-4.673583
190,2.29249,-1.2470453,-2.6298528,-3.1381094,-3.7375455,-3.5175433,-3.1052103,-0.42549524,-3.9653115,-3.8997083
191,-3.950489,-4.1887455,2.1976168,-2.8503766,2.033188,-3.4284527,-4.3781743,-0.5228776,-4.0838795,-4.706955
192,-4.1072717,-4.252558,-4.015079,-3.6294909,-3.76325,-3.2226012,-3.3817623,-0.47106865,-3.9698544,2.490946
193,-3.9641042,-2.7378447,-1.7421942,-3.034025,-3.812954,2.3599489,-3.7772806,-0.52493554,2.2118754,-4.1863446
